Day,Month,Year,Time,Location,Route,Aboard,Passengers Aboard,Crew Aboard,Fatalities,Passenger Fatalities,Crew Fatalities,Ground,Flight #,AC Type,Registration,cn / ln,Summary
19,January,1930,1823,"Oceanside, California","Aqua Caliente, Mexico - Los Angeles",16,14,2,16,14,2,0,7,Ford 5-AT-C Tri Motor,NC9689,5-AT-046,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control."
31,March,1931,1045,"Bazaar, Kansas",Kansas City - Wichita -  Los Angeles,8,6,2,8,6,2,0,599,Fokker F10A Trimotor,NC-999,1063,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed."
31,August,1934,2245,"Amazonia, Missouri",Kansas City - Saint Joseph - Omaha,5,4,1,5,4,1,0,6,Stinson  SM-6000B,NC11118,5004,The plane crashed about 11 miles from St. Joseph in heavy fog. Pilot error in taking off in dangerous weather conditions and turning too close the the ground in a fog-bound area. Inaccurate weather conditions reported to the pilot.
06,May,1935,0330,"Atlanta, Missouri",Los Angeles - Albuquerque - Kanasas City -  Washington,14,12,2,5,3,2,0,6,Douglas DC-2-112,NC13785,1295,"The plane crashed while en route from Albuquerque to Kansas City. After encountering fog and poor visibility, the plane was diverted to Kirksville where witnesses reported the low flying aircraft made contact with the ground and crashed. Whether the plane struck the ground while the pilot was attempting to make an emergency landing or because the available fuel supply had been exhausted, or for other reasons, could not be determined. New Mexico Senator Bronson M. Cutting, 46, killed. Improper clearance of the airplane from Albuquerque by the company's ground personnel when the plane's two-way radio was not functioning properly."
14,August,1935,2345,"Near Gilmer, Texas",Dallas -  Atlanta,4,3,1,4,3,1,0,4,Stinson Model A,NC14599,9103,Crashed 3 miles south of Gilmer. The outboard engine separated from the aircraft after a propeller blade broke off resulting in an imbalanced condition which led to loss of control of the aircraft.
07,October,1935,0219,"Near Cheyenne, Wyoming",Salt Lake City - Cheyenne,12,9,3,12,9,3,0,4,Boeing 247D,NC13317,1698,"While flying in a normal, slightly descending path, the aircraft  first collided with the ground just a few feet  below the top of a small knoll tearing out both engines and engine nacelles. It then rebounded and continued through the air for a distance of 1,120 feet, where it came to rest.  Error on the part of the pilot in executing an abrupt maneuver with insufficient altitude for safety and failure of the pilot to maintain proper control of the aircraft during this maneuver."
14,January,1936,1932,"Goodwin, Arkansas", Newark - Memphis - Little Rock - Dallas - Los Angeles,17,14,3,17,14,3,0,1,Douglas DC-2-120,NC14274,1307,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls."
07,April,1936,1020,"Uniontown, Pennsylvania",Newark - Los Angeles,14,11,3,12,10,2,0,1,Douglas DC-2-112,NC13721,1247,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio."
05,August,1936,2200,"St. Louis, Missouri",New Orleans - Chicago,8,6,2,8,6,2,0,4,Lockheed 10B Electra,NC16022,1057,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground."
15,December,1936,0314,"Near Salt Lake City, Utah",Burbank - Las Vegas - Salt Lake City,7,4,3,7,4,3,0,6,Boeing 247D,NC13370,1957,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local static condition which rendered both range receivers in the airplane inoperative.
19,December,1936,2047,"Near Milford, Pennsylvania",Miami - Charleston - Newark,11,8,3,0,0,0,0,14,Douglas DC-2-112,NC13732,1258,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and static conditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible."
